Player 	Span 	Mat 	Runs 	HS 	Ave 	100 	Wkts 	BBI 	Ave 	5 	Ct 	St
G Giffen 	1881-1896 	31 	1238 	161 	23.35 	1 	103 	7/117 	27.09 	7 	24 	0
MA Noble 	1898-1909 	42 	1997 	133 	30.25 	1 	121 	7/17 	25.00 	9 	26 	0
W Rhodes 	1899-1930 	58 	2325 	179 	30.19 	2 	127 	8/68 	26.96 	6 	60 	0
MW Tate 	1924-1935 	39 	1198 	100 	25.48 	1 	155 	6/42 	26.16 	7 	11 	0
IWG Johnson 	1946-1956 	45 	1000 	77 	18.51 	0 	109 	7/44 	29.19 	3 	30 	0
RR Lindwall 	1946-1960 	61 	1502 	118 	21.15 	2 	228 	7/38 	23.03 	12 	26 	0
KR Miller 	1946-1956 	55 	2958 	147 	36.97 	7 	170 	7/60 	22.97 	7 	38 	0
MH Mankad 	1946-1959 	44 	2109 	231 	31.47 	5 	162 	8/52 	32.32 	8 	33 	0
TE Bailey 	1949-1959 	61 	2290 	134 	29.74 	1 	132 	7/34 	29.21 	5 	32 	0
R Benaud 	1952-1964 	63 	2201 	122 	24.45 	3 	248 	7/72 	27.03 	16 	65 	0
AK Davidson 	1953-1963 	44 	1328 	80 	24.59 	0 	186 	7/93 	20.53 	14 	42 	0
GS Sobers 	1954-1974 	93 	8032 	365 	57.78 	26 	235 	6/73 	34.03 	6 	109 	0
TL Goddard 	1955-1970 	41 	2516 	112 	34.46 	1 	123 	6/53 	26.22 	5 	48 	0
FJ Titmus 	1955-1975 	53 	1449 	84 	22.29 	0 	153 	7/79 	32.22 	7 	35 	0
R Illingworth 	1958-1973 	61 	1836 	113 	23.24 	2 	122 	6/29 	31.20 	3 	45 	0
Intikhab Alam 	1959-1977 	47 	1493 	138 	22.28 	1 	125 	7/52 	35.95 	5 	20 	0
Sarfraz Nawaz 	1969-1984 	55 	1045 	90 	17.71 	0 	177 	9/86 	32.75 	4 	26 	0
Imran Khan 	1971-1992 	88 	3807 	136 	37.69 	6 	362 	8/58 	22.81 	23 	28 	0
AW Greig 	1972-1977 	58 	3599 	148 	40.43 	8 	141 	8/86 	32.20 	6 	87 	0
Sir RJ Hadlee 	1973-1990 	86 	3124 	151 	27.16 	2 	431 	9/52 	22.29 	36 	39 	0
IT Botham 	1977-1992 	102 	5200 	208 	33.54 	14 	383 	8/34 	28.40 	27 	120 	0
Abdul Qadir 	1977-1990 	67 	1029 	61 	15.59 	0 	236 	9/56 	32.80 	15 	15 	0
JE Emburey 	1978-1995 	64 	1713 	75 	22.53 	0 	147 	7/78 	38.40 	6 	34 	0
N Kapil Dev 	1978-1994 	131 	5248 	163 	31.05 	8 	434 	9/83 	29.64 	23 	64 	0
MD Marshall 	1978-1991 	81 	1810 	92 	18.85 	0 	376 	7/22 	20.94 	22 	25 	0
JG Bracewell 	1980-1990 	41 	1001 	110 	20.42 	1 	102 	6/32 	35.81 	4 	31 	0
RJ Shastri 	1981-1992 	80 	3830 	206 	35.79 	11 	151 	5/75 	40.96 	2 	36 	0
Wasim Akram 	1985-2002 	104 	2898 	257 	22.64 	3 	414 	7/119 	23.62 	25 	44 	0
MG Hughes 	1985-1994 	53 	1032 	72 	16.64 	0 	212 	8/87 	28.38 	7 	23 	0
CL Hooper 	1987-2002 	102 	5762 	233 	36.46 	13 	114 	5/26 	49.42 	4 	115 	0
CEL Ambrose 	1988-2000 	98 	1439 	53 	12.40 	0 	405 	8/45 	20.99 	22 	18 	0
Waqar Younis 	1989-2003 	87 	1010 	45 	10.20 	0 	373 	7/76 	23.56 	22 	18 	0
CL Cairns 	1989-2004 	62 	3320 	158 	33.53 	5 	218 	7/27 	29.40 	13 	14 	0
A Kumble 	1990-2008 	132 	2506 	110 	17.77 	1 	619 	10/74 	29.65 	35 	60 	0
J Srinath 	1991-2002 	67 	1009 	76 	14.21 	0 	236 	8/86 	30.49 	10 	22 	0
SK Warne 	1992-2007 	145 	3154 	99 	17.32 	0 	708 	8/71 	25.41 	37 	125 	0
M Muralitharan 	1992-2010 	133 	1261 	67 	11.67 	0 	800 	9/51 	22.72 	67 	72 	0
HH Streak 	1993-2005 	65 	1990 	127 	22.35 	1 	216 	6/73 	28.14 	7 	17 	0
WPUJC Vaas 	1994-2009 	111 	3089 	100 	24.32 	1 	355 	7/71 	29.58 	12 	31 	0
SM Pollock 	1995-2008 	108 	3781 	111 	32.31 	2 	421 	7/87 	23.11 	16 	72 	0
JH Kallis 	1995-2013 	166 	13289 	224 	55.37 	45 	292 	6/54 	32.65 	5 	200 	0
JN Gillespie 	1996-2006 	71 	1218 	201 	18.73 	1 	259 	7/37 	26.13 	8 	27 	0
DL Vettori 	1997-2014 	113 	4531 	140 	30.00 	6 	362 	7/87 	34.36 	20 	58 	0
Harbhajan Singh 	1998-2015 	103 	2224 	115 	18.22 	2 	417 	8/84 	32.46 	25 	42 	0
AF Giles 	1998-2006 	54 	1421 	59 	20.89 	0 	143 	5/57 	40.60 	5 	33 	0
A Flintoff 	1998-2009 	79 	3845 	167 	31.77 	5 	226 	5/58 	32.78 	3 	52 	0
HMRKB Herath 	1999-2018 	91 	1645 	80 	14.42 	0 	423 	9/127 	28.10 	33 	23 	0
Abdul Razzaq 	1999-2006 	46 	1946 	134 	28.61 	3 	100 	5/35 	36.94 	1 	15 	0
B Lee 	1999-2008 	76 	1451 	64 	20.15 	0 	310 	5/30 	30.81 	10 	23 	0
N Boje 	2000-2006 	43 	1312 	85 	25.23 	0 	100 	5/62 	42.65 	3 	18 	0
Z Khan 	2000-2014 	92 	1231 	75 	11.95 	0 	311 	7/87 	32.94 	11 	19 	0
Mohammad Rafique 	2000-2008 	33 	1059 	111 	18.57 	1 	100 	6/77 	40.76 	7 	7 	0
JM Anderson 	2003-2018 	138 	1135 	81 	9.78 	0 	540 	7/42 	27.23 	25 	85 	0
IK Pathan 	2003-2008 	29 	1105 	102 	31.57 	1 	100 	7/59 	32.26 	7 	8 	0
DW Steyn 	2004-2018 	87 	1188 	76 	13.97 	0 	421 	7/51 	22.42 	26 	23 	0
Shakib Al Hasan 	2007-2018 	53 	3692 	217 	39.69 	5 	196 	7/36 	31.88 	18 	20 	0
MG Johnson 	2007-2015 	73 	2065 	123 	22.20 	1 	313 	8/61 	28.40 	12 	27 	0
SCJ Broad 	2007-2018 	118 	2976 	169 	19.97 	1 	417 	8/15 	28.89 	16 	36 	0
TG Southee 	2008-2018 	60 	1459 	77 	17.57 	0 	220 	7/64 	30.82 	7 	38 	0
PM Siddle 	2008-2016 	62 	1063 	51 	14.76 	0 	211 	6/54 	29.92 	8 	16 	0
GP Swann 	2008-2013 	60 	1370 	85 	22.09 	0 	255 	6/65 	29.96 	17 	54 	0
R Ashwin 	2011-2018 	58 	2163 	124 	30.46 	4 	316 	7/59 	25.34 	26 	21 	0
VD Philander 	2011-2018 	55 	1485 	74 	25.16 	0 	205 	6/21 	21.54 	13 	16 	0
MA Starc 	2011-2018 	43 	1171 	99 	21.68 	0 	182 	6/50 	28.17 	9 	19 	0
RA Jadeja 	2012-2018 	36 	1196 	90 	29.17 	0 	171 	7/48 	23.11 	9 	29 	0
MM Ali 	2014-2018 	50 	2495 	155 	32.40 	5 	133 	6/53 	40.68 	4 	27 	0